IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
MDG_0000000003,Adolescent birth rate (per 1000 women),text,AMR,Americas,Country,CRI,Costa Rica,Year,2022,true,Sex,Female,SEX_FMLE,Age Group,10-14 years,AGEGROUP_YEARS10-14,,,,,,,1.16,,,,,,1.2,,Registration National Statistics & WPP2022,EN,2024-03-26 00:00:00
MDG_0000000003,Adolescent birth rate (per 1000 women),text,EUR,Europe,Country,DNK,Denmark,Year,2022,true,Sex,Female,SEX_FMLE,Age Group,15-19 years,AGEGROUP_YEARS15-19,,,,,,,1.17,,,,,,1.2,,Registration National Statistics & WPP2022,EN,2024-03-26 00:00:00
MDG_0000000003,Adolescent birth rate (per 1000 women),text,EUR,Europe,Country,NOR,Norway,Year,2022,true,Sex,Female,SEX_FMLE,Age Group,15-19 years,AGEGROUP_YEARS15-19,,,,,,,1.39,,,,,,1.4,,Registration National Statistics & WPP2022,EN,2024-03-26 00:00:00
MDG_0000000003,Adolescent birth rate (per 1000 women),text,EUR,Europe,Country,CHE,Switzerland,Year,2022,true,Sex,Female,SEX_FMLE,Age Group,15-19 years,AGEGROUP_YEARS15-19,,,,,,,1.44,,,,,,1.4,,Registration National Statistics & WPP2022,EN,2024-03-26 00:00:00
MDG_0000000003,Adolescent birth rate (per 1000 women),text,EUR,Europe,Country,BGR,Bulgaria,Year,2022,true,Sex,Female,SEX_FMLE,Age Group,10-14 years,AGEGROUP_YEARS10-14,,,,,,,1.60,,,,,,1.6,,Registration National Statistics,EN,2024-03-26 00:00:00
MDG_0000000003,Adolescent birth rate (per 1000 women),text,WPR,Western Pacific,Country,NZL,New Zealand,Year,2022,true,Sex,Female,SEX_FMLE,Age Group,15-19 years,AGEGROUP_YEARS15-19,,,,,,,11.10,,,,,,11.1,,Registration National Statistics,EN,2024-03-26 00:00:00
MDG_0000000003,Adolescent birth rate (per 1000 women),text,EUR,Europe,Country,TUR,Türkiye,Year,2022,true,Sex,Female,SEX_FMLE,Age Group,15-19 years,AGEGROUP_YEARS15-19,,,,,,,12.00,,,,,,12,,Registration National Statistics,EN,2024-03-26 00:00:00
MDG_0000000003,Adolescent birth rate (per 1000 women),text,AMR,Americas,Country,PRI,Puerto Rico,Year,2022,true,Sex,Female,SEX_FMLE,Age Group,15-19 years,AGEGROUP_YEARS15-19,,,,,,,13.13,,,,,,13.1,,Registration National Statistics & WPP2022,EN,2024-03-26 00:00:00
MDG_0000000003,Adolescent birth rate (per 1000 women),text,EUR,Europe,Country,RUS,Russian Federation,Year,2022,true,Sex,Female,SEX_FMLE,Age Group,15-19 years,AGEGROUP_YEARS15-19,,,,,,,13.40,,,,,,13.4,,Registration National Statistics,EN,2024-03-26 00:00:00
MDG_0000000003,Adolescent birth rate (per 1000 women),text,AMR,Americas,Country,USA,United States of America,Year,2022,true,Sex,Female,SEX_FMLE,Age Group,15-19 years,AGEGROUP_YEARS15-19,,,,,,,13.50,,,,,,13.5,,Registration National Statistics,EN,2024-03-26 00:00:00
MDG_0000000003,Adolescent birth rate (per 1000 women),text,EUR,Europe,Country,MKD,North Macedonia,Year,2022,true,Sex,Female,SEX_FMLE,Age Group,15-19 years,AGEGROUP_YEARS15-19,,,,,,,14.05,,,,,,14,,Registration National Statistics,EN,2024-03-26 00:00:00
MDG_0000000003,Adolescent birth rate (per 1000 women),text,AMR,Americas,Country,BES,"Bonaire, Saint Eustatius and Saba",Year,2022,true,Sex,Female,SEX_FMLE,Age Group,15-19 years,AGEGROUP_YEARS15-19,,,,,,,14.37,,,,,,14.4,,Registration National Statistics,EN,2024-03-26 00:00:00
MDG_0000000003,Adolescent birth rate (per 1000 women),text,EUR,Europe,Country,KAZ,Kazakhstan,Year,2022,true,Sex,Female,SEX_FMLE,Age Group,15-19 years,AGEGROUP_YEARS15-19,,,,,,,19.71,,,,,,19.7,,Registration National Statistics,EN,2024-03-26 00:00:00
MDG_0000000003,Adolescent birth rate (per 1000 women),text,AFR,Africa,Country,MUS,Mauritius,Year,2022,true,Sex,Female,SEX_FMLE,Age Group,15-19 years,AGEGROUP_YEARS15-19,,,,,,,19.92,,,,,,19.9,,Registration National Statistics & WPP2022,EN,2024-03-26 00:00:00
MDG_0000000003,Adolescent birth rate (per 1000 women),text,EUR,Europe,Country,SWE,Sweden,Year,2022,true,Sex,Female,SEX_FMLE,Age Group,15-19 years,AGEGROUP_YEARS15-19,,,,,,,1.97,,,,,,2,,Registration National Statistics & WPP2022,EN,2024-03-26 00:00:00
